id,artist_name,sc_alias
511,20 Fingers,No Soundcloud Found
512,"2 Puerto Ricans, a Blackman, and a Dominican",No Soundcloud Found
513,Ultrabeat,ultrabeatsofficial
514,Ultra Nat̩,ultra-nate
515,Uppermost,uppermost
516,Underworld,No Soundcloud Found
517,Ursula Rucker,ursula-rucker
518,Utah Saints,utahsaints
519,Vanessa Daou,vanessadaou
520,Vernessa Mitchell,dancemusicprod
521,Victor Calderone,victorcalderone
522,Vika Jigulina,vika-jigulina
523,Vinyl Scratch,No Soundcloud Found
524,Wamdue Project,No Soundcloud Found
525,Way Out West,way-out-west
526,Warren Clarke,No Soundcloud Found
527,Whirlpool Productions,No Soundcloud Found
528,Wolfgang Gartner,wolfganggartner
529,X-Press 2,x-press-2
530,Ya Kid K,No Soundcloud Found
531,Yves Larock,yveslarock
532,Yarabi,x
533,Yves Deruyter,yvesderuyter
534,Yinon Yahel,yinon-yahel
535,Zelma Davis,No Soundcloud Found
536,Zedd,zedd
537,Jamie xx,jamie-xx-official
538,Caribou,caribouband
539,Andr̩s,djandresfeelpageofficial
540,Hot Chip,hot_chip
541,Ricardo Villalobos,ricardo-villalobos-off
542,Four Tet,four-tet
543,Disclosure,disclosuremusic
544,Madonna,madonna
545,Todd Terje,toddterje
546,WK7,No Soundcloud Found
547,Head High,No Soundcloud Found
548,Andy Stott,modernlove
549,SBTRKT,sbtrkt
550,Burial,burial
551,Floating Points,floatingpoints
552,Sound Stream,x
553,Thom Yorke,No Soundcloud Found
554,Motor City Drum Ensemble,mcde-recordings
555,Depeche Mode,depeche_mode
556,Boo Williams,boo-williams
557,Breaker 1 2,No Soundcloud Found
558,Delroy Edwards,delroy-edwards
559,Moodymann,mahoganimusic
560,Omar-S,No Soundcloud Found
561,Levon Vincent,levonvincent
562,Pet Shop Boys,petshopboysofficial
563,DJ Koze,pamparecords
564,Jack J,jackjutson
565,Fatima Yamaha,fatimayamaha
566,Kassem Mosse,No Soundcloud Found
567,Joy Orbison,joy-orbison
568,Palms Trax,palmstrax
569,Soichi Terada,soichi-terada
570,Dungeon Meat,dungeonmeat
571,SE62,se62
572,Terekke,terekke
573,John Talabot,john-talabot
574,Paranoid London,paranoid-london
575,Paris Brightledge,marlonhoffstadt
576,DJ Metatron,No Soundcloud Found
577,Toro Y Moi,toroymoi
578,Mall Grab,mallgrab
579,Genius Of Time,No Soundcloud Found
580,Daphni,caribouband
581,Cut/Copy,cutcopy
582,Mount Kimbie,mountkimbie
583,Florian Kupfer,kupfer
584,Lovefoxxx,No Soundcloud Found
585,Bj̦rk,bjork
586,The Mole,moleofsoul
587,Leon Vynehall,vynehall
588,Jay Daniel,jaydaniel
589,Tyree,tyree1033
590,Harvey Sutherland,harvey-sutherland
